pid, cid, month, year, amountMNOK, amountMUSD, kBarrels,
1,IE,3,2017,842.00,99.07,1946.37,
1,IE,4,2015,593.00,75.08,1304.87,
1,IE,4,2016,638.00,77.52,1902.36,
1,IE,4,2017,305.00,35.52,680.96,
1,IE,5,2015,871.00,115.30,1844.56,
1,IE,5,2016,761.00,92.38,2010.81,
1,IE,5,2017,270.00,31.68,634.98,
1,IE,6,2015,578.00,74.06,1208.03,
1,IE,6,2016,716.00,86.12,1805.83,
1,IE,6,2017,538.00,63.58,1377.05,
1,IE,7,2015,614.00,75.62,1391.53,
1,IE,7,2016,725.00,85.58,1939.18,
1,IE,7,2017,290.00,35.50,744.95,
1,IE,8,2014,0.00,0.00,0.00,
1,IE,8,2015,495.00,60.00,1313.20,
1,IE,8,2016,783.00,94.19,2098.70,
1,IE,8,2017,0.00,0.00,0.00,
1,IE,9,2014,411.00,64.84,676.44,
1,IE,9,2015,752.00,90.82,1962.43,
1,IE,9,2016,490.00,59.66,1324.63,
1,IE,9,2017,600.00,76.62,1447.00,
1,IE,10,2014,387.00,59.15,687.12,
1,IE,10,2015,504.00,60.94,1297.61,
1,IE,10,2016,774.00,94.81,1923.44,
1,IE,10,2017,911.00,113.96,2075.03,
1,IE,11,2014,0.00,0.00,0.00,
1,IE,11,2015,738.00,85.47,1982.51,
1,IE,11,2016,1290.00,153.44,3390.27,
1,IE,11,2017,333.00,40.68,678.78,
1,IE,12,2014,541.00,74.47,1226.80,
1,IE,12,2015,410.00,47.15,1289.40,
1,IE,12,2016,580.00,67.77,1287.97,
1,IE,12,2017,325.00,39.02,637.77,
1,IT,1,2015,0.00,0.00,0.00,
1,IT,1,2016,0.00,0.00,0.00,
1,IT,1,2017,0.00,0.00,0.00,
1,IT,2,2015,0.00,0.00,0.00,
1,IT,2,2016,0.00,0.00,0.00,
1,IT,2,2017,256.00,30.74,565.59,
1,IT,3,2015,0.00,0.00,0.00,
1,IT,3,2016,0.00,0.00,0.00,
1,IT,3,2017,0.00,0.00,0.00,
1,IT,4,2015,0.00,0.00,0.00,
1,IT,4,2016,0.00,0.00,0.00,
1,IT,4,2017,284.00,33.07,634.07,
1,IT,5,2015,0.00,0.00,0.00,
1,IT,5,2016,274.00,33.26,724.00,
1,IT,5,2017,326.00,38.25,766.68,
1,IT,6,2015,0.00,0.00,0.00,
1,IT,6,2016,0.00,0.00,0.00,
1,IT,6,2017,255.00,30.13,652.69,
1,IT,7,2015,276.00,33.99,625.51,
1,IT,7,2016,404.00,47.69,1080.59,
1,IT,7,2017,0.00,0.00,0.00,
1,IT,8,2014,0.00,0.00,0.00,
1,IT,8,2015,0.00,0.00,0.00,
1,IT,8,2016,0.00,0.00,0.00,
1,IT,8,2017,546.00,69.17,1384.99,
1,IT,9,2014,390.00,61.52,641.88,
1,IT,9,2015,0.00,0.00,0.00,
1,IT,9,2016,250.00,30.44,675.83,
1,IT,9,2017,357.00,45.59,860.96,
1,IT,10,2014,0.00,0.00,0.00,
1,IT,10,2015,0.00,0.00,0.00,
1,IT,10,2016,328.00,40.18,815.10,
1,IT,10,2017,303.00,37.90,690.16,
1,IT,11,2014,338.00,49.65,644.86,
1,IT,11,2015,229.00,26.52,615.17,
1,IT,11,2016,0.00,0.00,0.00,
1,IT,11,2017,0.00,0.00,0.00,
1,IT,12,2014,239.00,32.90,541.97,
1,IT,12,2015,0.00,0.00,0.00,
1,IT,12,2016,0.00,0.00,0.00,
1,IT,12,2017,0.00,0.00,0.00,
1,LT,1,2017,0.00,0.00,0.00,
1,LT,2,2017,402.00,48.27,888.15,
1,LT,3,2017,0.00,0.00,0.00,
1,LT,4,2017,0.00,0.00,0.00,
1,LT,5,2017,378.00,44.35,888.97,
1,LT,6,2017,0.00,0.00,0.00,
1,LT,7,2017,0.00,0.00,0.00,
1,LT,8,2017,0.00,0.00,0.00,
1,LT,9,2017,327.00,41.76,788.61,
1,LT,10,2017,0.00,0.00,0.00,
1,LT,11,2017,0.00,0.00,0.00,
1,LT,12,2017,0.00,0.00,0.00,
1,MQ,1,2015,241.00,31.34,665.33,
1,MQ,1,2016,150.00,16.96,569.53,
1,MQ,1,2017,0.00,0.00,0.00,
1,MQ,2,2015,530.00,69.83,1274.48,
1,MQ,2,2016,166.00,19.28,621.48,
1,MQ,2,2017,0.00,0.00,0.00,
1,MQ,3,2015,0.00,0.00,0.00,
1,MQ,3,2016,0.00,0.00,0.00,
1,MQ,3,2017,87.00,10.24,201.11,
1,MQ,4,2015,0.00,0.00,0.00,
1,MQ,4,2016,0.00,0.00,0.00,
1,MQ,4,2017,0.00,0.00,0.00,
1,MQ,5,2015,584.00,77.31,1236.76,
1,MQ,5,2016,0.00,0.00,0.00,
1,MQ,5,2017,0.00,0.00,0.00,
1,MQ,6,2015,0.00,0.00,0.00,
1,MQ,6,2016,249.00,29.95,628.00,
1,MQ,6,2017,0.00,0.00,0.00,
1,MQ,7,2015,279.00,34.36,632.31,
1,MQ,7,2016,236.00,27.86,631.24,
1,MQ,7,2017,0.00,0.00,0.00,
1,MQ,8,2015,0.00,0.00,0.00,
1,MQ,8,2016,0.00,0.00,0.00,
1,MQ,8,2017,0.00,0.00,0.00,
1,MQ,9,2015,0.00,0.00,0.00,
1,MQ,9,2016,0.00,0.00,0.00,
1,MQ,9,2017,0.00,0.00,0.00,
1,MQ,10,2015,236.00,28.53,607.61,
1,MQ,10,2016,0.00,0.00,0.00,
1,MQ,10,2017,0.00,0.00,0.00,
1,MQ,11,2015,220.00,25.48,590.99,
1,MQ,11,2016,0.00,0.00,0.00,
1,MQ,11,2017,0.00,0.00,0.00,
1,MQ,12,2015,197.00,22.66,619.54,
1,MQ,12,2016,261.00,30.50,579.59,
1,MQ,12,2017,0.00,0.00,0.00,
1,NL,1,2015,4075.00,529.98,11249.80,
1,NL,1,2016,3628.00,410.22,13775.07,
1,NL,1,2017,4613.00,543.92,10149.69,
1,NL,2,2015,4207.00,554.28,10116.48,
1,NL,2,2016,3052.00,354.55,11426.17,
1,NL,2,2017,2951.00,354.35,6519.72,
1,NL,3,2015,2973.00,372.32,7047.57,
